Component,Subscription,AzureResourceType,DiagnosticLogCategory,SentinelTable,NIST_800_53,ControlName,ControlFamily,RequiredAction
Azure Firewall (Secured Hub),Connectivity,Microsoft.Network/azureFirewalls,"AzureFirewallApplicationRule,AzureFirewallNetworkRule,AzureFirewallDnsProxy,AZFWApplicationRule,AZFWNetworkRule,AZFWThreatIntel",AZFWApplicationRule;AZFWNetworkRule;AZFWThreatIntel;AZFWDnsQuery;AzureDiagnostics,AC-4,Information Flow Enforcement,Access Control,Enable Diagnostic Settings to Log Analytics workspace
Azure Firewall (Secured Hub),Connectivity,Microsoft.Network/azureFirewalls,"AzureFirewallApplicationRule,AzureFirewallNetworkRule,AZFWThreatIntel",AZFWThreatIntel;AzureDiagnostics,SI-4,Information System Monitoring,System & Information Integrity,Enable Threat Intelligence-based filtering in Alert and Deny mode
Azure Firewall (Secured Hub),Connectivity,Microsoft.Network/azureFirewalls,"AzureFirewallApplicationRule,AzureFirewallNetworkRule",AZFWApplicationRule;AZFWNetworkRule;AzureDiagnostics,AU-3,Content of Audit Records,Audit & Accountability,Enable structured logs (Resource Specific) over AzureDiagnostics
Virtual WAN,Connectivity,Microsoft.Network/virtualWans,AuditEvent,AzureDiagnostics,AC-4,Information Flow Enforcement,Access Control,Enable Diagnostic Settings for vWAN
Virtual WAN Hub,Connectivity,Microsoft.Network/virtualHubs,"RouteTable,RoutingIntent",AzureDiagnostics,AC-4,Information Flow Enforcement,Access Control,Enable Diagnostic Settings for Secured Hub
VPN Gateway,Connectivity,Microsoft.Network/vpnGateways,"GatewayDiagnosticLog,TunnelDiagnosticLog,RouteDiagnosticLog,IKEDiagnosticLog",AzureDiagnostics,AC-17,Remote Access,Access Control,Enable Diagnostic Settings for VPN Gateway
VPN Gateway,Connectivity,Microsoft.Network/vpnGateways,"GatewayDiagnosticLog,TunnelDiagnosticLog",AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Monitor VPN tunnel status and IKE failures
ExpressRoute Gateway,Connectivity,Microsoft.Network/expressRouteGateways,GatewayDiagnosticLog,AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable Diagnostic Settings for ExpressRoute
ExpressRoute Circuit (SCP-C),Connectivity,Microsoft.Network/expressRouteCircuits,"PeeringRouteLog,BGPSessionDiagnosticLog",AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable BGP and Peering diagnostics
Key Vault,Connectivity,Microsoft.KeyVault/vaults,AuditEvent,AzureDiagnostics;KeyVaultDiagnostics,AC-6,Least Privilege,Access Control,Enable Diagnostic Settings and configure RBAC access policies
Key Vault,Connectivity,Microsoft.KeyVault/vaults,AuditEvent,AzureDiagnostics;KeyVaultDiagnostics,AU-2,Audit Events,Audit & Accountability,Enable audit logging for all Key Vault operations
Key Vault,Management,Microsoft.KeyVault/vaults,AuditEvent,AzureDiagnostics;KeyVaultDiagnostics,AC-6,Least Privilege,Access Control,Enable Diagnostic Settings and configure RBAC access policies
Key Vault,Management,Microsoft.KeyVault/vaults,AuditEvent,AzureDiagnostics;KeyVaultDiagnostics,AU-2,Audit Events,Audit & Accountability,Enable audit logging for all Key Vault operations
Storage Account,Connectivity,Microsoft.Storage/storageAccounts,"StorageRead,StorageWrite,StorageDelete",StorageBlobLogs;StorageQueueLogs;StorageTableLogs;StorageFileLogs,AC-6,Least Privilege,Access Control,Enable Diagnostic Settings for blob/queue/table/file
Storage Account,Connectivity,Microsoft.Storage/storageAccounts,"StorageRead,StorageWrite,StorageDelete",StorageBlobLogs,AU-3,Content of Audit Records,Audit & Accountability,Enable storage analytics logging
Storage Account,Management,Microsoft.Storage/storageAccounts,"StorageRead,StorageWrite,StorageDelete",StorageBlobLogs;StorageQueueLogs;StorageTableLogs;StorageFileLogs,AC-6,Least Privilege,Access Control,Enable Diagnostic Settings for blob/queue/table/file
Storage Account,Management,Microsoft.Storage/storageAccounts,"StorageRead,StorageWrite,StorageDelete",StorageBlobLogs,AU-3,Content of Audit Records,Audit & Accountability,Enable storage analytics logging
Recovery Services Vault,Connectivity,Microsoft.RecoveryServices/vaults,"CoreAzureBackup,AddonAzureBackupJobs,AddonAzureBackupPolicy",CoreAzureBackup;AddonAzureBackupJobs,CP-9,Information System Backup,Contingency Planning,Enable Diagnostic Settings for backup monitoring
Recovery Services Vault,Management,Microsoft.RecoveryServices/vaults,"CoreAzureBackup,AddonAzureBackupJobs,AddonAzureBackupPolicy",CoreAzureBackup;AddonAzureBackupJobs,CP-9,Information System Backup,Contingency Planning,Enable Diagnostic Settings for backup monitoring
Recovery Services Vault,Connectivity,Microsoft.RecoveryServices/vaults,"AzureSiteRecoveryJobs,AzureSiteRecoveryEvents",AzureDiagnostics,CP-10,Information System Recovery,Contingency Planning,Enable ASR diagnostic logging
Recovery Services Vault,Management,Microsoft.RecoveryServices/vaults,"AzureSiteRecoveryJobs,AzureSiteRecoveryEvents",AzureDiagnostics,CP-10,Information System Recovery,Contingency Planning,Enable ASR diagnostic logging
Disk Encryption Set,Connectivity,Microsoft.Compute/diskEncryptionSets,N/A - ARM control plane only,AzureActivity,SC-28,Protection of Information at Rest,System & Communications Protection,Ensure CMK encryption is properly configured and linked to Key Vault
Disk Encryption Set,Management,Microsoft.Compute/diskEncryptionSets,N/A - ARM control plane only,AzureActivity,SC-28,Protection of Information at Rest,System & Communications Protection,Ensure CMK encryption is properly configured and linked to Key Vault
SD-WAN NVA (sdwan-01),Connectivity,Microsoft.Network/networkVirtualAppliances,N/A - vendor specific,Syslog;CommonSecurityLog,AC-17,Remote Access,Access Control,Configure syslog forwarding from NVA to Log Analytics via AMA
SD-WAN NVA (sdwan-02),Connectivity,Microsoft.Network/networkVirtualAppliances,N/A - vendor specific,Syslog;CommonSecurityLog,AC-17,Remote Access,Access Control,Configure syslog forwarding from NVA to Log Analytics via AMA
SD-WAN NVA (sdwan-01),Connectivity,Microsoft.Network/networkVirtualAppliances,N/A - vendor specific,Syslog;CommonSecurityLog,SC-7,Boundary Protection,System & Communications Protection,Forward firewall/routing logs from SD-WAN appliance
SD-WAN NVA (sdwan-02),Connectivity,Microsoft.Network/networkVirtualAppliances,N/A - vendor specific,Syslog;CommonSecurityLog,SC-7,Boundary Protection,System & Communications Protection,Forward firewall/routing logs from SD-WAN appliance
Connectivity VNET,Connectivity,Microsoft.Network/virtualNetworks,VMProtectionAlerts,AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable NSG Flow Logs on associated subnets
Management VNET,Management,Microsoft.Network/virtualNetworks,VMProtectionAlerts,AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable NSG Flow Logs on associated subnets
NSG Flow Logs,Both,Microsoft.Network/networkWatchers/flowLogs,NetworkSecurityGroupFlowEvent,AzureNetworkAnalytics_CL,AC-4,Information Flow Enforcement,Access Control,Enable NSG Flow Logs v2 with Traffic Analytics
NSG Flow Logs,Both,Microsoft.Network/networkWatchers/flowLogs,NetworkSecurityGroupFlowEvent,AzureNetworkAnalytics_CL,AU-12,Audit Generation,Audit & Accountability,Ensure Traffic Analytics is enabled for all NSGs
Azure Sentinel,Management,Microsoft.OperationalInsights/workspaces,Audit,LAQueryLogs;SentinelAudit,AU-6,Audit Review Analysis and Reporting,Audit & Accountability,Enable workspace auditing and SentinelAudit diagnostic setting
Azure Sentinel,Management,Microsoft.SecurityInsights/settings,N/A - platform managed,SecurityIncident;SecurityAlert;SentinelHealth,IR-4,Incident Handling,Incident Response,Enable Sentinel Health diagnostics and configure Analytics Rules
Event Hub,Management,Microsoft.EventHub/namespaces,"ArchiveLogs,OperationalLogs,AutoScaleLogs",AzureDiagnostics,AU-9,Protection of Audit Information,Audit & Accountability,Enable Diagnostic Settings; use for log export/archival
DNS Private Resolver,Management,Microsoft.Network/dnsResolvers,DnsResolverQuery,AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable DNS query logging to detect exfiltration/C2
Private DNS Zones,Management,Microsoft.Network/privateDnsZones,AuditEvent,AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable Diagnostic Settings for DNS zone change auditing
Automation Account,Management,Microsoft.Automation/automationAccounts,"JobLogs,JobStreams,DscNodeStatus",AzureDiagnostics,CM-3,Configuration Change Control,Configuration Management,Enable Diagnostic Settings for runbook job monitoring
Automation Account,Management,Microsoft.Automation/automationAccounts,"JobLogs,JobStreams,DscNodeStatus",AzureDiagnostics,SI-7,Software Firmware and Information Integrity,System & Information Integrity,Use DSC for configuration drift detection
Managed Identity,Management,Microsoft.ManagedIdentity/userAssignedIdentities,N/A - logs via AAD,AADManagedIdentitySignInLogs,IA-2,Identification and Authentication,Identification & Authentication,Ensure AADManagedIdentitySignInLogs connector is enabled
Managed Identity,Management,Microsoft.ManagedIdentity/userAssignedIdentities,N/A - logs via AAD,AADManagedIdentitySignInLogs,AC-2,Account Management,Access Control,Review managed identity assignments and permissions regularly
AVD Host Pool,Management,Microsoft.DesktopVirtualization/hostPools,"Checkpoint,Error,Management,Connection,HostRegistration",WVDConnections;WVDCheckpoints;WVDErrors;WVDManagement;WVDHostRegistrations,AC-17,Remote Access,Access Control,Enable Diagnostic Settings for Host Pool
AVD Host Pool,Management,Microsoft.DesktopVirtualization/hostPools,"Checkpoint,Error,Management,Connection",WVDConnections,AU-3,Content of Audit Records,Audit & Accountability,Enable connection logging for session tracking
AVD Session Host (avd-01),Management,Microsoft.Compute/virtualMachines,N/A - uses AMA,SecurityEvent;Event;Syslog,AU-2,Audit Events,Audit & Accountability,Deploy AMA with DCR for SecurityEvent and Event tables
AVD Session Host (avd-01),Management,Microsoft.Compute/virtualMachines,N/A - uses AMA,SecurityEvent,AC-2,Account Management,Access Control,Configure Windows Security Event collection (EventID 4720-4740 account mgmt)
AVD Session Host (aaworker-01),Management,Microsoft.Compute/virtualMachines,N/A - uses AMA,SecurityEvent;Event;Heartbeat,AU-2,Audit Events,Audit & Accountability,Deploy AMA with DCR for SecurityEvent collection
AVD Session Host (aaworker-01),Management,Microsoft.Compute/virtualMachines,N/A - uses AMA,SecurityEvent,AC-2,Account Management,Access Control,Configure Windows Security Event collection (account management events)
Azure Activity,Connectivity,Microsoft.Insights/diagnosticSettings,Administrative;Security;ServiceHealth;Alert;Policy,AzureActivity,AC-6,Least Privilege,Access Control,Enable Activity Log connector for Connectivity subscription
Azure Activity,Management,Microsoft.Insights/diagnosticSettings,Administrative;Security;ServiceHealth;Alert;Policy,AzureActivity,AC-6,Least Privilege,Access Control,Enable Activity Log connector for Management subscription
Azure Activity,Both,Microsoft.Insights/diagnosticSettings,Administrative;Security;Policy,AzureActivity,AU-12,Audit Generation,Audit & Accountability,Ensure all subscriptions export Activity Logs to Sentinel workspace
Microsoft Entra ID,Tenant,Microsoft.AAD/domainServices,SignInLogs;AuditLogs;NonInteractiveUserSignInLogs,SigninLogs;AADNonInteractiveUserSignInLogs;AuditLogs,AC-2,Account Management,Access Control,Enable Entra ID diagnostic settings to Sentinel workspace
Microsoft Entra ID,Tenant,Microsoft.AAD/domainServices,RiskyUsers;UserRiskEvents;RiskyServicePrincipals,AADRiskyUsers;AADUserRiskEvents;AADRiskyServicePrincipals,IA-5,Authenticator Management,Identification & Authentication,Enable Identity Protection log categories
Microsoft Defender for Cloud,Tenant,Microsoft.Security/securityContacts,N/A - platform managed,SecurityAlert;SecurityRecommendation,RA-5,Vulnerability Scanning,Risk Assessment,Enable Defender for Cloud data connector in Sentinel
Microsoft Defender for Cloud,Tenant,Microsoft.Security/securityContacts,N/A - platform managed,SecurityAlert,SI-4,Information System Monitoring,System & Information Integrity,Enable continuous export of alerts to Sentinel
